Suburb,Rooms,Type,Price,Method,SellerG,Postcode,Regionname,Propertycount,Distance,CouncilArea,Sale_Year,Sale_Month
Other,3,u,905000.0,S,Woodards,3166,Southern Metropolitan,3145,12.3,Monash City Council,2016,9
Bentleigh,2,h,855000.0,SP,Marshall,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,2016,12
Highett,2,u,585000.0,S,Buxton,3190,Southern Metropolitan,4794,16.0,Bayside City Council,2018,6
Tullamarine,3,u,560000.0,S,Other,3043,Western Metropolitan,3296,12.9,Brimbank City Council,2016,6
Mulgrave,3,u,550000.0,S,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2016,5
Reservoir,2,t,661000.0,SP,Nelson,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2018,5
Taylors Hill,4,h,815000.0,S,Barry,3037,Western Metropolitan,4242,18.0,Melton City Council,2016,12
Greenvale,4,h,625500.0,PI,YPA,3059,Northern Metropolitan,4864,20.4,Hume City Council,2016,8
Montmorency,3,h,640000.0,S,Barry,3094,Eastern Metropolitan,3891,16.2,Banyule City Council,2016,6
Coburg,2,u,590000.0,S,Brad,3058,Northern Metropolitan,11204,6.7,Darebin City Council,2018,4
Burwood East,3,u,780000.0,S,Other,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,2017,4
Bentleigh East,3,h,1831000.0,S,Other,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2017,10
Brighton,4,h,2400000.0,VB,Marshall,3186,Southern Metropolitan,10579,10.5,Bayside City Council,2018,5
Collingwood,3,h,1433000.0,PI,Nelson,3066,Northern Metropolitan,4553,2.0,Yarra City Council,2018,6
Mount Waverley,3,u,1200000.0,SP,Jellis,3149,Eastern Metropolitan,13366,14.2,Monash City Council,2017,3
Brunswick West,2,u,403000.0,S,hockingstuart,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2016,5
Maidstone,2,h,472500.0,S,Other,3012,Western Metropolitan,3873,6.4,Maribyrnong City Council,2017,5
Pascoe Vale,4,h,780000.0,VB,Brad,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2016,11
Richmond,3,t,1052000.0,S,Jellis,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2017,5
Bundoora,3,h,652000.0,S,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,2017,4
South Yarra,2,u,840000.0,S,Other,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2017,2
Point Cook,3,h,675000.0,S,Other,3030,Western Metropolitan,15542,14.7,Wyndham City Council,2018,2
Ringwood,3,h,956000.0,S,Other,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council,2016,8
Other,3,h,845000.0,S,Buckingham,3089,Northern Victoria,4258,21.8,Nillumbik Shire Council,2018,5
Reservoir,3,h,829000.0,S,Barry,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2017,8
Port Melbourne,3,h,1305000.0,S,Marshall,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2016,5
Pascoe Vale,2,t,476450.0,S,Eview,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2017,2
Glenroy,3,u,582000.0,S,Stockdale,3046,Northern Metropolitan,8870,11.2,Moreland City Council,2018,6
Sunshine West,3,h,720000.0,SP,Bells,3020,Western Metropolitan,6763,10.5,Brimbank City Council,2018,6
Dingley Village,4,t,780000.0,SP,Buxton,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,2016,8
Mont Albert,2,t,660000.0,PI,Other,3127,Eastern Metropolitan,2079,10.2,Boroondara City Council,2016,5
Balwyn North,5,h,1650000.0,VB,Marshall,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2018,6
Dandenong North,3,h,660000.0,S,C21,3175,South-Eastern Metropolitan,8322,24.7,Greater Dandenong City Council,2017,10
Surrey Hills,4,h,2050000.0,VB,Jellis,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,2016,4
Templestowe,4,h,1700000.0,S,Barry,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,2017,8
Lalor,3,h,525000.0,S,HAR,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,2018,6
St Albans,4,h,600000.0,SP,Ray,3021,Western Metropolitan,14042,14.0,Brimbank City Council,2016,1
Glenroy,3,h,640000.0,S,Nelson,3046,Northern Metropolitan,8870,11.2,Moreland City Council,2016,9
Clifton Hill,3,t,1000000.0,VB,Jellis,3068,Northern Metropolitan,2954,3.6,Yarra City Council,2018,3
Doncaster,4,h,1160000.0,VB,Jellis,3108,Eastern Metropolitan,9028,12.4,Manningham City Council,2018,3
Other,3,h,820000.0,SP,hockingstuart,3028,Western Metropolitan,7630,15.5,Hobsons Bay City Council,2017,6
Other,3,h,1520000.0,PI,Marshall,3161,Southern Metropolitan,6923,7.8,Glen Eira City Council,2017,6
Other,3,h,830000.0,SP,Barry,3195,South-Eastern Metropolitan,2824,21.5,Kingston City Council,2017,12
Richmond,2,h,1125000.0,S,hockingstuart,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2016,7
Melbourne,4,u,1850000.0,VB,hockingstuart,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,2017,4
Albert Park,5,h,2100000.0,S,Greg,3206,Southern Metropolitan,3280,3.0,Port Phillip City Council,2016,12
Other,4,h,1100000.0,S,Buckingham,3085,Northern Metropolitan,1369,12.7,Banyule City Council,2017,8
Footscray,2,h,810000.0,PI,Nelson,3011,Western Metropolitan,7570,5.1,Maribyrnong City Council,2018,10
Bundoora,2,t,345000.0,S,Ray,3083,Northern Metropolitan,10175,12.1,Banyule City Council,2017,3
Glenroy,2,t,440000.0,S,Eview,3046,Northern Metropolitan,8870,11.2,Moreland City Council,2018,5
Mitcham,3,h,1101000.0,S,Ray,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,2017,7
Balwyn North,4,h,2205000.0,PI,RW,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2016,12
Wollert,3,h,406500.0,S,HAR,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council,2018,8
Broadmeadows,4,h,753000.0,S,Barry,3047,Northern Metropolitan,4294,14.0,Hume City Council,2017,9
Croydon,4,h,725000.0,S,Other,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,2016,5
Beaumaris,4,h,3000000.0,VB,Kay,3193,Southern Metropolitan,5366,17.3,Bayside City Council,2016,4
Mulgrave,3,u,700000.0,VB,Other,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2018,6
Bundoora,3,t,650000.0,PI,Ray,3083,Northern Metropolitan,10175,12.1,Banyule City Council,2017,5
Other,3,h,700000.0,S,Douglas,3020,Western Metropolitan,2185,10.5,Brimbank City Council,2017,5
Glen Waverley,4,h,1535000.0,S,Barry,3150,Eastern Metropolitan,15321,16.7,Monash City Council,2016,12
St Kilda,3,u,640000.0,S,Gary,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,2017,4
Springvale,3,u,385000.0,S,Buxton,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council,2016,12
Thomastown,3,h,665000.0,S,HAR,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council,2017,11
Cheltenham,5,h,1200000.0,SP,Barry,3192,Southern Metropolitan,9758,17.9,Bayside City Council,2016,9
Prahran,4,h,1805000.0,S,Gary,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,2017,6
St Kilda,2,u,492500.0,S,McGrath,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,2018,4
Moonee Ponds,2,u,450000.0,SP,Other,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,2018,5
Point Cook,4,h,640000.0,SP,MICM,3030,Western Metropolitan,15542,14.7,Wyndham City Council,2018,8
Hampton,2,h,1695000.0,S,Hodges,3188,Southern Metropolitan,5454,13.8,Bayside City Council,2017,5
Thomastown,3,h,670000.0,S,HAR,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council,2018,3
Brighton,3,t,1427000.0,S,Marshall,3186,Southern Metropolitan,10579,10.5,Bayside City Council,2017,3
Yarraville,3,t,620000.0,VB,Other,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council,2016,4
Melbourne,1,u,310000.0,VB,Other,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,2018,6
Richmond,2,h,1170000.0,S,Biggin,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2017,10
Thornbury,2,t,885000.0,S,McGrath,3071,Northern Metropolitan,8870,7.0,Darebin City Council,2017,10
Hawthorn,1,u,450000.0,S,Other,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,2017,11
Forest Hill,5,h,1300000.0,PI,Jellis,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council,2017,3
St Albans,1,h,565000.0,S,Bells,3021,Western Metropolitan,14042,14.0,Brimbank City Council,2017,5
Williamstown,3,h,1570000.0,SP,Williams,3016,Western Metropolitan,6380,6.8,Hobsons Bay City Council,2018,3
Cheltenham,3,t,860000.0,VB,Barry,3192,Southern Metropolitan,9758,17.9,Bayside City Council,2017,5
Carnegie,3,h,1104000.0,S,RW,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,2018,9
Footscray,3,h,1000000.0,PI,Jas,3011,Western Metropolitan,7570,5.1,Maribyrnong City Council,2017,4
Highett,4,h,1160000.0,S,RT,3190,Southern Metropolitan,4794,16.0,Bayside City Council,2016,9
Craigieburn,4,h,430000.0,S,Ray,3064,Northern Metropolitan,15510,20.6,Hume City Council,2016,12
Other,4,h,937000.0,S,Brad,3036,Western Metropolitan,2339,14.5,Brimbank City Council,2016,11
Keilor East,3,h,930000.0,S,Nelson,3033,Western Metropolitan,5629,11.7,Brimbank City Council,2018,5
Northcote,2,t,725000.0,S,Jellis,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2018,6
Malvern East,3,h,1300000.0,VB,Marshall,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,2018,5
Blackburn South,3,h,1030000.0,PI,Noel,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,2018,2
Watsonia,2,h,599500.0,S,Buckingham,3087,Northern Metropolitan,2329,14.5,Banyule City Council,2017,9
Box Hill,4,t,975000.0,VB,Other,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,2016,10
St Albans,3,h,447500.0,S,FN,3021,Western Metropolitan,14042,14.0,Brimbank City Council,2016,5
Croydon,3,h,845000.0,S,Barry,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,2017,3
Dandenong North,3,h,690000.0,S,Harcourts,3175,South-Eastern Metropolitan,8322,24.7,Greater Dandenong City Council,2018,3
Carlton,2,u,567000.0,S,MICM,3053,Northern Metropolitan,6786,1.6,Melbourne City Council,2017,12
Glenroy,4,h,630000.0,S,Stockdale,3046,Northern Metropolitan,8870,11.2,Moreland City Council,2016,5
Brunswick,3,h,1410000.0,S,Nelson,3056,Northern Metropolitan,11918,5.2,Moreland City Council,2018,4
Pascoe Vale,3,t,812500.0,S,Brad,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2017,11
Other,5,h,2900000.0,PI,Jellis,3126,Southern Metropolitan,3265,8.4,Boroondara City Council,2016,5
Keilor East,3,u,823000.0,S,Moonee,3033,Western Metropolitan,5629,11.7,Brimbank City Council,2018,7
Roxburgh Park,5,h,715000.0,S,LJ,3064,Northern Metropolitan,5833,20.6,Hume City Council,2017,7
Strathmore,5,h,915000.0,S,Brad,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council,2016,4
Wollert,3,h,500000.0,PI,Ray,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council,2018,2
Brunswick West,2,u,452500.0,S,Other,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2018,7
Roxburgh Park,4,h,391000.0,S,Raine,3064,Northern Metropolitan,5833,20.6,Hume City Council,2016,5
Other,1,u,440500.0,S,Gary,3161,Southern Metropolitan,6923,7.8,Glen Eira City Council,2018,4
Thomastown,3,h,450000.0,S,Barry,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council,2016,5
Thomastown,3,u,480000.0,S,HAR,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council,2017,11
Altona North,3,h,791000.0,S,Jas,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council,2017,8
Camberwell,5,h,2600000.0,VB,Marshall,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2016,12
Reservoir,3,h,765000.0,S,Nelson,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,10
Templestowe,5,h,1475000.0,PI,Barry,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,2016,6
Hoppers Crossing,4,h,565000.0,S,YPA,3029,Western Metropolitan,13830,18.4,Wyndham City Council,2017,10
Other,2,u,515000.0,SP,Buxton,3169,South-Eastern Metropolitan,2727,17.5,Kingston City Council,2018,4
Preston,4,h,914000.0,S,Ray,3072,Northern Metropolitan,14577,8.4,Darebin City Council,2016,12
Bentleigh East,3,h,1235000.0,S,Other,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2018,3
Maribyrnong,2,u,635000.0,PI,Nelson,3032,Western Metropolitan,4918,4.3,Maribyrnong City Council,2016,12
Fitzroy,2,t,1050000.0,S,Nelson,3065,Northern Metropolitan,5825,2.1,Yarra City Council,2017,5
Nunawading,3,h,1200000.0,S,Fletchers,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,2017,4
Brunswick West,3,h,850000.0,PI,Brad,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2017,4
Hampton,3,h,2440000.0,S,Marshall,3188,Southern Metropolitan,5454,13.8,Bayside City Council,2018,2
Oakleigh South,3,h,980500.0,S,McGrath,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council,2016,11
Doncaster East,4,h,1325000.0,S,Barry,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,2016,6
Doncaster,4,h,1316000.0,S,Jellis,3108,Eastern Metropolitan,9028,12.4,Manningham City Council,2016,11
Point Cook,5,h,789650.0,S,MICM,3030,Western Metropolitan,15542,14.7,Wyndham City Council,2017,11
Other,3,h,917500.0,S,Other,3196,South-Eastern Metropolitan,2887,27.0,Kingston City Council,2017,10
Camberwell,4,h,1650000.0,PI,Jellis,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2016,6
Watsonia,3,h,715000.0,SP,Barry,3087,Northern Metropolitan,2329,14.5,Banyule City Council,2017,4
Epping,4,h,675000.0,S,Other,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council,2016,9
Bentleigh East,4,t,1320500.0,S,Buxton,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2017,12
Thornbury,3,h,1455000.0,S,Woodards,3071,Northern Metropolitan,8870,7.0,Darebin City Council,2017,12
Brunswick West,4,h,1600000.0,VB,Nelson,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2016,5
Oak Park,3,h,972000.0,S,Brad,3046,Northern Metropolitan,2651,11.2,Moreland City Council,2017,5
Northcote,3,h,1474000.0,S,Jellis,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2016,11
MacLeod,2,u,690000.0,SP,Ray,3085,Northern Metropolitan,4168,12.7,Banyule City Council,2018,1
Northcote,2,u,770000.0,S,Nelson,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2016,9
Sunbury,4,h,655000.0,SP,Raine,3429,Western Metropolitan,14092,31.7,Hume City Council,2018,5
MacLeod,3,h,740000.0,S,Barry,3085,Northern Metropolitan,4168,12.7,Banyule City Council,2017,6
South Yarra,2,u,675000.0,S,hockingstuart,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2018,9
Northcote,4,h,2400000.0,SA,McGrath,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2018,9
Balwyn,4,h,1900000.0,VB,Marshall,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,2017,10
Elwood,3,h,2025000.0,PI,Marshall,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,2018,6
Collingwood,2,u,450000.0,S,Biggin,3066,Northern Metropolitan,4553,2.0,Yarra City Council,2016,5
Other,4,h,670000.0,PI,Barry,3022,Western Metropolitan,1281,12.8,Brimbank City Council,2018,3
Black Rock,3,u,850000.0,S,Other,3193,Southern Metropolitan,2866,17.3,Bayside City Council,2016,11
Viewbank,2,u,455000.0,PI,hockingstuart,3084,Eastern Metropolitan,2698,8.9,Banyule City Council,2016,5
Port Melbourne,3,h,1670000.0,S,Greg,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2016,4
Brunswick West,2,u,470000.0,SP,Nelson,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2018,4
Kew,5,h,2821000.0,S,RT,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,2016,6
Essendon,3,t,970000.0,VB,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,2018,5
Caulfield South,4,h,1916000.0,S,Biggin,3162,Southern Metropolitan,5051,8.7,Glen Eira City Council,2016,5
Ferntree Gully,4,h,820000.0,S,Ray,3156,Eastern Metropolitan,10788,24.8,Knox City Council,2017,9
Bentleigh East,4,h,1250000.0,VB,Buxton,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2017,9
Other,4,h,860000.0,SP,Darren,3095,Eastern Metropolitan,2346,18.0,Banyule City Council,2017,10
MacLeod,4,h,1160000.0,SA,Woodards,3085,Northern Metropolitan,4168,12.7,Banyule City Council,2017,9
Eltham,4,h,1560000.0,S,Jellis,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,2018,3
Cheltenham,4,h,1025000.0,S,Greg,3192,Southern Metropolitan,9758,17.9,Bayside City Council,2016,9
Balwyn North,4,h,1675000.0,S,Fletchers,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2017,3
Templestowe,4,h,1300000.0,VB,Jellis,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,2017,10
Northcote,1,u,280000.0,VB,Other,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2017,5
Fawkner,3,h,750000.0,S,Brad,3060,Northern Metropolitan,5070,13.1,Hume City Council,2017,9
Carnegie,3,u,1008000.0,S,Woodards,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,2016,11
Essendon,4,h,2800000.0,PI,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,2017,12
Sunshine West,3,h,825000.0,S,Barry,3020,Western Metropolitan,6763,10.5,Brimbank City Council,2016,10
Westmeadows,2,t,370000.0,PI,Other,3049,Northern Metropolitan,2474,16.5,Hume City Council,2016,5
Bundoora,4,h,900650.0,SP,Ray,3083,Northern Metropolitan,10175,12.1,Banyule City Council,2018,4
Mulgrave,3,h,780000.0,SP,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2016,9
Hillside,3,h,580000.0,S,Barry,3037,Western Metropolitan,5556,18.0,Brimbank City Council,2018,10
Other,4,h,600000.0,PI,Barry,3047,Northern Metropolitan,851,14.0,Hume City Council,2018,2
Sandringham,5,h,2210000.0,PI,Marshall,3191,Southern Metropolitan,4497,15.2,Bayside City Council,2017,3
Epping,4,h,427000.0,S,Harcourts,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council,2016,5
Richmond,3,h,1075000.0,S,Jellis,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2016,9
Glen Iris,3,u,1400000.0,VB,hockingstuart,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2018,8
Mount Waverley,4,h,1580000.0,S,Jellis,3149,Eastern Metropolitan,13366,14.2,Monash City Council,2018,4
Melbourne,2,u,640000.0,VB,Greg,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,2017,4
Brighton East,5,h,1800000.0,VB,Other,3187,Southern Metropolitan,6938,10.3,Bayside City Council,2018,8
Pascoe Vale,2,u,660000.0,S,Nelson,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2017,10
Craigieburn,3,h,469500.0,S,Ray,3064,Northern Metropolitan,15510,20.6,Hume City Council,2018,8
Greensborough,3,h,876000.0,S,Morrison,3088,Northern Metropolitan,8524,16.1,Banyule City Council,2017,12
Chadstone,3,h,1080000.0,S,Buxton,3148,Southern Metropolitan,3582,11.7,Monash City Council,2017,11
Elwood,2,u,525000.0,S,Chisholm,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,2017,10
Beaumaris,5,h,1300000.0,PI,Hodges,3193,Southern Metropolitan,5366,17.3,Bayside City Council,2016,11
Templestowe,4,h,985000.0,S,Jellis,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,2016,9
Craigieburn,3,h,567000.0,S,YPA,3064,Northern Metropolitan,15510,20.6,Hume City Council,2017,12
Deer Park,3,h,486000.0,S,Stockdale,3023,Western Metropolitan,6388,14.8,Brimbank City Council,2016,11
Box Hill,4,h,1560000.0,PI,Jellis,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,2016,9
West Footscray,1,u,208000.0,S,C21,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council,2017,9
South Melbourne,1,u,530000.0,S,Greg,3205,Southern Metropolitan,5943,1.9,Port Phillip City Council,2017,11
South Morang,4,h,555000.0,S,Ray,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,2016,7
Hawthorn East,1,u,360000.0,PI,LITTLE,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,2018,5
Other,4,h,927000.0,S,Darren,3088,Eastern Metropolitan,915,16.1,Banyule City Council,2017,9
Other,2,u,722000.0,SP,Other,3161,Southern Metropolitan,6923,7.8,Glen Eira City Council,2016,9
Brighton,2,u,536000.0,SP,Hodges,3186,Southern Metropolitan,10579,10.5,Bayside City Council,2016,12
Hawthorn,2,u,606000.0,S,Buxton,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,2018,4
Oak Park,4,h,690000.0,S,Brad,3046,Northern Metropolitan,2651,11.2,Moreland City Council,2016,9
Brunswick,3,h,903000.0,SP,Woodards,3056,Northern Metropolitan,11918,5.2,Moreland City Council,2018,6
Northcote,1,u,312000.0,S,Harcourts,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2016,5
Taylors Lakes,4,h,1060000.0,PI,Barry,3038,Western Metropolitan,5336,15.5,Brimbank City Council,2017,11
Burwood,2,h,1322500.0,S,Buxton,3125,Southern Metropolitan,5678,10.4,Monash City Council,2017,8
Glen Iris,3,h,1890000.0,S,Other,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2017,6
Other,4,h,570000.0,S,Barry,3910,Eastern Victoria,8743,41.0,Frankston City Council,2018,1
Forest Hill,3,h,690000.0,VB,Jellis,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council,2018,8
Yarraville,3,h,1310000.0,SP,Sweeney,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council,2018,5
Frankston,3,h,600000.0,PI,Barry,3199,South-Eastern Metropolitan,17055,38.0,Frankston City Council,2017,10
Fitzroy North,3,h,2555000.0,S,Collins,3068,Northern Metropolitan,6244,3.6,Moreland City Council,2017,5
Carlton North,2,h,1520000.0,PI,Woodards,3054,Northern Metropolitan,3106,3.5,Melbourne City Council,2017,9
Beaumaris,2,h,975500.0,S,Barry,3193,Southern Metropolitan,5366,17.3,Bayside City Council,2017,11
St Kilda,1,u,400000.0,VB,Woodards,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,2016,11
South Yarra,3,t,2010000.0,VB,Kay,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2016,5
Other,4,t,560500.0,S,Stockdale,3047,Northern Metropolitan,2246,14.0,Hume City Council,2017,9
Heathmont,3,h,920000.0,S,Barry,3135,Eastern Metropolitan,3794,21.3,Maroondah City Council,2018,9
Mulgrave,5,h,1386000.0,S,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2018,9
Other,5,h,2905000.0,S,Rendina,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council,2017,5
Hadfield,3,h,911000.0,S,Stockdale,3046,Northern Metropolitan,2606,11.2,Moreland City Council,2017,12
Sunshine,4,h,1254000.0,S,Jas,3020,Western Metropolitan,3755,10.5,Brimbank City Council,2017,11
Other,3,h,450000.0,VB,Greg,3028,Western Metropolitan,2004,15.5,Hobsons Bay City Council,2018,3
Carlton,2,u,693500.0,S,Ray,3053,Northern Metropolitan,6786,1.6,Melbourne City Council,2018,9
Camberwell,2,u,820000.0,S,Jellis,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2017,2
Other,4,h,915000.0,S,Barry,3085,Northern Metropolitan,1369,12.7,Banyule City Council,2017,3
South Yarra,2,h,1160000.0,S,Marshall,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2017,11
Doncaster,4,h,1098000.0,S,Barry,3108,Eastern Metropolitan,9028,12.4,Manningham City Council,2018,9
Brunswick,2,u,755000.0,SP,Jellis,3056,Northern Metropolitan,11918,5.2,Moreland City Council,2017,5
Reservoir,3,h,1005000.0,S,Harcourts,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2017,3
Kew,2,u,670000.0,PI,Jellis,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,2018,5
Wollert,3,h,570000.0,SP,HAR,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council,2018,3
Preston,5,h,1455000.0,S,Nelson,3072,Northern Metropolitan,14577,8.4,Darebin City Council,2017,12
Mill Park,4,h,702000.0,S,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,2018,2
Avondale Heights,3,h,800000.0,VB,Nelson,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council,2017,11
